"You have chosen to pay for the order online. Once you've completed your order, you will be transferred to the ePay payment system. Here you need to process your payment. Once payment is completed, you will automatically be returned to our shop.","You have chosen to pay for the order online. Once you've completed your order, you will be transferred to the ePay payment system. Here you need to process your payment. Once payment is completed, you will automatically be returned to our shop."
"Payment","Payment"
"Order number","Order number"
"Amount","Amount"
"Payment system transaction information","Payment system transaction information"
"Transaction ID","Transaction ID"
"Currency code","Currency code"
"Transaction date","Transaction date"
"MD5 key","MD5 key"
"Fraud control","Fraud control"
"Subscription ID","Subscription ID"
"Card type","Card type"
"Transaction fee","Transaction fee"
"There is not registered any payment for this order yet!","There is not registered any payment for this order yet!"
"Go to payment system administration and process the transaction","Go to payment system administration and process the transaction"
"This creditcard has been used %s time(s) the past 24 hours","This creditcard has been used %s time(s) the past 24 hours"
"The Order is placed using ePay Online payment system and is now awaiting payment.","The Order is placed using ePay Online payment system and is now awaiting payment."
"To complete your order, you must now pay online. This is done through ePay online payment system (www.epay.eu).","To complete your order, you must now pay online. This is done through ePay online payment system (www.epay.eu)."
"If the Standard Payment Window does not open up automatically, click the button to activate the.","If the Standard Payment Window does not open up automatically, click the button to activate the."
"Open the payment window","Open the payment window"
"Transaction fee","Transaction fee"
"Deleted","Deleted"
"Captured","Captured"
"New","New"
"Unknown","Unknown"
"Current payment system transaction status","Current payment system transaction status"
"Transaction status","Transaction status"
"Deleted date","Deleted date"
"Acquirer","Acquirer"
"Splitpayment","Splitpayment"
"3D Secure","3D Secure"
"Yes","Yes"
"No","No"
"Description","Description"
"Cardholder","Cardholder"
"Auth amount","Auth amount"
"Captured amount","Captured amount"
"Credited amount","Credited amount"
"An error occured in the communication to the payment system","An error occured in the communication to the payment system"
"History","History"
"Cancel payment","Cancel payment"
"Card number","Card number"

"The payment action could not, be processed online. Please enable remote payment processing from the module configuration","The payment action could not, be processed online. Please enable remote payment processing from the module configuration"
"Invalid password used for webservice access!","Invalid password used for webservice access!"
"Unknown error!","Unknown error!"
"The payment could not be captured by ePay:","The payment could not be captured by ePay:"
"The payment could not be refunded by ePay:","The payment could not be refunded by ePay:"
"The payment could not be deleted by ePay:","The payment could not be deleted by ePay:"
"Order not found - please check the","Order not found - please check the"
"Capture with ePay","Capture with ePay"
"Order: %s returned with an error: %s","Order: %s returned with an error: %s"
"%s order(s) cannot be Invoiced and Captured.","%s order(s) cannot be Invoiced and Captured."
"You cannot Invoice and Capture the order(s).","You cannot Invoice and Capture the order(s)."
"We Invoiced and Captured %s order(s).","We Invoiced and Captured %s order(s)."
"Payment authorization was a success.","Payment authorization was a success."
"Order was auto canceled because no payment has been made.","Order was auto canceled because no payment has been made."
"Please enable remote payment processing from the module configuration","Please enable remote payment processing from the module configuration"
"The payment have been voided","The payment have been voided"
